;;CV. UNTUNG BESAR BERSAMA;;;;;;;;
;;Kuantitas Barang per Gudang;;;;;;;;
;;Per Tgl. 19 Jan 2026;;;;;;;;
;;"Cabang : [Semua Cabang], Gudang : Warehouse Jakarta, Warehouse Pusat, Warehouse Bali Gatsu-Box, Warehouse Bali Gatsu-Protol,  ...";;;;;;;;
Nama Barang;;;Kode Barang;Warehouse Bali Gatsu-Box;Warehouse Bali Gatsu-Protol;Warehouse Jakarta;Warehouse Pusat;Warehouse Pusat Reject;Total Nama Gudang;
"BABY BATMAN 1, 23/24, BLUE";;;Z2BT01Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BATMAN 1, 25/26, BLUE";;;Z2BT01Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BATMAN 2, 23/24, YELLOW";;;Z2BT02Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BATMAN 2, 25/26, YELLOW";;;Z2BT02Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS CLASSIC 1, 21/22, STEEL BLUE";;;Z2CA01Z21;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS CLASSIC 1, 23/24, STEEL BLUE";;;Z2CA01Z23;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS CLASSIC 1, 25/26, STEEL BLUE";;;Z2CA01Z25;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS CLASSIC 2, 21/22, HAZELNUT";;;Z2CA02Z21;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS CLASSIC 2, 23/24, HAZELNUT";;;Z2CA02Z23;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS CLASSIC 2, 25/26, HAZELNUT";;;Z2CA02Z25;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 1, 21/22, DISNEY MICKEY BLACK";;;Z2CL01Z21;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 1, 23/24, DISNEY MICKEY BLACK";;;Z2CL01Z23;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 1, 25/26, DISNEY MICKEY BLACK";;;Z2CL01Z25;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 2, 21/22, DISNEY MICKEY & FRIENDS BLUE";;;Z2MF02Z21;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 2, 23/24, DISNEY MICKEY & FRIENDS BLUE";;;Z2MF02Z23;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 2, 24, DISNEY MICKEY & FRIENDS BLUE";;;Z1MF02Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 2, 25/26, DISNEY MICKEY & FRIENDS BLUE";;;Z2MF02Z25;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 3, 21/22, DISNEY MICKEY & FRIENDS BROWN";;;Z2MF03Z22;"34,";"0,";"0,";"0,";"4,";"38,";
"BABY BOYS COLLAB 3, 22, DISNEY MICKEY & FRIENDS BROWN";;;Z1MF03Z22;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 3, 23, DISNEY MICKEY & FRIENDS BROWN";;;Z1MF03Z23;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 3, 23/24, DISNEY MICKEY & FRIENDS BROWN";;;Z2MF03Z24;"45,";"0,";"0,";"0,";"5,";"50,";
"BABY BOYS COLLAB 3, 24, DISNEY MICKEY & FRIENDS BROWN";;;Z1MF03Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 3, 25, DISNEY MICKEY & FRIENDS BROWN";;;Z1MF03Z25;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS COLLAB 3, 25/26, DISNEY MICKEY & FRIENDS BROWN";;;Z2MF03Z26;"29,";"0,";"0,";"0,";"1,";"30,";
"BABY BOYS TOY STORY 1,21/22, BROWN";;;Z2TS01Z22;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS TOY STORY 1,23/24, BROWN";;;Z2TS01Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS TOY STORY 1,25/26, BROWN";;;Z2TS01Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS TOY STORY 2,21/22, BLUE";;;Z2TS02Z22;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS TOY STORY 2,23/24, BLUE";;;Z2TS02Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS TOY STORY 2,25/26, BLUE";;;Z2TS02Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS TOY STORY 3,21/22, GREEN";;;Z2TS03Z22;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS TOY STORY 3,23/24, GREEN";;;Z2TS03Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY BOYS TOY STORY 3,25/26, GREEN";;;Z2TS03Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 4, 21/22, NAVY";;;Z2CA04Z22;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Z2CAV104Z22;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 4, 23/24, NAVY";;;Z2CA04Z24;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Z2CAV104Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 4, 25/26, NAVY";;;Z2CA04Z26;"0,";"0,";"0,";"0,";"0,";"0,";
;;;Z2CAV104Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 5, 21/22, COFFEE";;;Z2CA05Z22;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 5, 23/24, COFFEE";;;Z2CA05Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 5, 25/26, COFFEE";;;Z2CA05Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 6, 21/22, GREY";;;Z2CA06Z22;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 6, 23/24, GREY";;;Z2CA06Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 6, 25/26, GREY";;;Z2CA06Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 7, 21/22, HONEY GINGER";;;Z2CA07Z22;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 7, 23/24, HONEY GINGER";;;Z2CA07Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 7, 25/26, HONEY GINGER";;;Z2CA07Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 8, 21/22, NUDE";;;Z2CA08Z22;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 8, 23/24, NUDE";;;Z2CA08Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 8, 25/26, NUDE";;;Z2CA08Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 9, 21/22, SAGE";;;Z2CA09Z22;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 9, 23/24, SAGE";;;Z2CA09Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY CLASSIC 9, 25/26, SAGE";;;Z2CA09Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY DISNEY MICKEY 1, 21/22, RED";;;Z2DM01Z22;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY DISNEY MICKEY 1, 23/24, RED";;;Z2DM01Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY DISNEY MICKEY 1, 25/26, RED";;;Z2DM01Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY DISNEY MICKEY 2, 21/22, NAVY";;;Z2DM02Z22;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY DISNEY MICKEY 2, 23/24, NAVY";;;Z2DM02Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY DISNEY MICKEY 2, 25/26, NAVY";;;Z2DM02Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY DISNEY MINNIE 1, 21/22 LAVENDER";;;Z2DI01Z22;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY DISNEY MINNIE 1, 23/24 LAVENDER";;;Z2DI01Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY DISNEY MINNIE 1, 25/26 LAVENDER";;;Z2DI01Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY DISNEY MINNIE 2, 21/22 BLUSH NUDE";;;Z2DI02Z22;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY DISNEY MINNIE 2, 23/24 BLUSH NUDE";;;Z2DI02Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY DISNEY MINNIE 2, 25/26 BLUSH NUDE";;;Z2DI02Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS CLASSIC 3, 21/22, CANDY PINK";;;Z2CA03Z21;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS CLASSIC 3, 23/24, CANDY PINK";;;Z2CA03Z23;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS CLASSIC 3, 25/26, CANDY PINK";;;Z2CA03Z25;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS COLLAB 1, 21/22, DISNEY MICKEY & FRIENDS PINK";;;Z2MF01Z21;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS COLLAB 1, 21/22, PINK";;;Z2GC01Z21;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS COLLAB 1, 23/24, DISNEY MICKEY & FRIENDS PINK";;;Z2MF01Z23;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS COLLAB 1, 23/24, PINK";;;Z2GC01Z23;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS COLLAB 1, 25/26, DISNEY MICKEY & FRIENDS PINK";;;Z2MF01Z25;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS COLLAB 1, 25/26, PINK";;;Z2GC01Z25;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS PRINCESS ARIEL 3, 21/22, GREEN";;;Z2PS03Z22;"71,";"0,";"0,";"0,";"15,";"86,";
"BABY GIRLS PRINCESS ARIEL 3, 23/24, GREEN";;;Z2PS03Z24;"70,";"0,";"0,";"0,";"15,";"85,";
"BABY GIRLS PRINCESS ARIEL 3, 25/26, GREEN";;;Z2PS03Z26;"27,";"0,";"0,";"0,";"0,";"27,";
"BABY GIRLS PRINCESS BELLE 2, 21/22, YELLOW";;;Z2PS02Z22;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS PRINCESS BELLE 2, 23/24, YELLOW";;;Z2PS02Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS PRINCESS BELLE 2, 25/26, YELLOW";;;Z2PS02Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS PRINCESS CINDERELLA 4, 21/22, BLUE";;;Z2PS04Z22;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS PRINCESS CINDERELLA 4, 23/24, BLUE";;;Z2PS04Z24;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS PRINCESS CINDERELLA 4, 25/26, BLUE";;;Z2PS04Z26;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY GIRLS PRINCESS SNOW WHITE 1, 21/22, RED";;;Z2PS01Z22;"125,";"0,";"0,";"0,";"0,";"125,";
"BABY GIRLS PRINCESS SNOW WHITE 1, 23/24, RED";;;Z2PS01Z24;"125,";"0,";"0,";"0,";"0,";"125,";
"BABY GIRLS PRINCESS SNOW WHITE 1, 25/26, RED";;;Z2PS01Z26;"50,";"0,";"0,";"0,";"0,";"50,";
"BABY UNI COLLAB WBB 1, 21/22, BLUE NAVY";;;Z2WB01Z21;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 1, 22, BLUE NAVY";;;BB3BZ22CL3;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 1, 23, BLUE NAVY";;;BB3BZ23CL3;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 1, 23/24, BLUE NAVY";;;Z2WB01Z23;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 1, 24, BLUE NAVY";;;BB3BZ24CL3;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 1, 25, BLUE NAVY";;;BB3BZ25CL3;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 1, 25/26, BLUE NAVY";;;Z2WB01Z25;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 2, 21/22, GREY NAVY";;;Z2WB02Z21;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 2, 23/24, GREY NAVY";;;Z2WB02Z23;"0,";"0,";"0,";"0,";"0,";"0,";
"BABY UNI COLLAB WBB 2, 25/26, GREY NAVY";;;Z2WB02Z25;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS CLASSIC 1, 29/30, BLACK";;;B2CA01Z30;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS CLASSIC 1, 31/32, BLACK";;;B2CA01Z32;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS CLASSIC 1, 33/34, BLACK";;;B2CA01Z34;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS CLASSIC 2, 29/30, NAVY";;;B2CA02Z30;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS CLASSIC 2, 31/32, NAVY";;;B2CA02Z32;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS CLASSIC 2, 33/34, NAVY";;;B2CA02Z34;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS CLASSIC 3, 29/30, ARMY";;;B2CA03Z30;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV303Z30;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS CLASSIC 3, 31/32, ARMY";;;B2CA03Z32;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV303Z32;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS CLASSIC 3, 33/34, ARMY";;;B2CA03Z34;"0,";"0,";"0,";"0,";"0,";"0,";
;;;B2CAV303Z34;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS COLLAB 10, 29/30 DISNEY MICKEY LAVA";;;B2CL10Z29;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS COLLAB 10, 31/32 DISNEY MICKEY LAVA";;;B2CL10Z31;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS COLLAB 10, 33/34 DISNEY MICKEY LAVA";;;B2CL10Z33;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS COLLAB 11, 29/30 DISNEY MICKEY DOVE";;;B2CL11Z29;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS COLLAB 11, 31/32 DISNEY MICKEY DOVE";;;B2CL11Z31;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS COLLAB 11, 33/34 DISNEY MICKEY DOVE";;;B2CL11Z33;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS COLLAB 9, 31/32 DISNEY MICKEY BLACK";;;B2CL09Z31;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS COLLAB 9, 33/34 DISNEY MICKEY BLACK";;;B2CL09Z33;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS ONYX 3, 37, NAVY GREY";;;B1ON03Z37;"0,";"0,";"0,";"0,";"1,";"1,";
"BOYS TOY STORY 1, 29/30, BROWN";;;B2TS01Z30;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS TOY STORY 1, 31/32, BROWN";;;B2TS01Z32;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS TOY STORY 1, 33/34, BROWN";;;B2TS01Z34;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS TOY STORY 2, 29/30, BLUE";;;B2TS02Z30;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS TOY STORY 2, 31/32, BLUE";;;B2TS02Z32;"0,";"0,";"0,";"0,";"0,";"0,";
"BOYS TOY STORY 2, 33/34, BLUE";;;B2TS02Z34;"0,";"0,";"0,";"0,";"0,";"0,";
"GIRL COLLAB 5, 27/28 DISNEY MINNIE CANDY PINK";;;G2CL05Z27;"0,";"0,";"0,";"0,";"0,";"0,";
"GIRL COLLAB 5, 29/30 DISNEY MINNIE CANDY PINK";;;G2CL05Z29;"0,";"0,";"0,";"0,";"0,";"0,";
"GIRL COLLAB 6, 27/28 DISNEY MINNIE BEEN";;;G2CL06Z27;"0,";"0,";"0,";"0,";"0,";"0,";
"GIRL COLLAB 6, 29/30 DISNEY MINNIE BEEN";;;G2CL06Z29;"0,";"0,";"0,";"0,";"0,";"0,";
"GIRL COLLAB 6, 31/32 DISNEY MINNIE BEEN";;;G2CL06Z31;"0,";"0,";"0,";"0,";"0,";"0,";
"GIRL COLLAB 7, 27/28 DISNEY MINNIE CREAM";;;G2CL07Z27;"0,";"0,";"0,";"0,";"0,";"0,";
"GIRL COLLAB 7, 29/30 DISNEY MINNIE CREAM";;;G2CL07Z29;"0,";"0,";"0,";"0,";"0,";"0,";
"GIRL COLLAB 7, 31/32 DISNEY MINNIE CREAM";;;G2CL07Z31;"0,";"0,";"0,";"0,";"0,";"0,";
"GIRLS CLASSIC 1, 27/28, NAVY";;;G2CA01Z27;"24,";"0,";"0,";"0,";"0,";"24,";
"GIRLS CLASSIC 1, 29/30, NAVY";;;G2CA01Z29;"40,";"0,";"0,";"0,";"0,";"40,";
"GIRLS CLASSIC 1, 31/32, NAVY";;;G2CA01Z31;"32,";"0,";"0,";"0,";"0,";"32,";
"GIRLS CLASSIC 2, 27/28, CANDY PINK";;;G2CA02Z27;"33,";"0,";"0,";"0,";"0,";"33,";
"GIRLS CLASSIC 2, 29/30, CANDY PINK";;;G2CA02Z29;"55,";"0,";"0,";"0,";"0,";"55,";
;;;G2CAV302Z30;"0,";"0,";"0,";"0,";"0,";"0,";
"GIRLS CLASSIC 2, 31/32, CANDY PINK";;;G2CA02Z31;"44,";"0,";"0,";"0,";"0,";"44,";
;;;G2CAV302Z32;"0,";"0,";"0,";"0,";"0,";"0,";
"GIRLS CLASSIC 2, 33/34, CANDY PINK";;;G2CAV302Z34;"0,";"0,";"0,";"0,";"0,";"0,";
"GIRLS CLASSIC 3, 27/28, HAZELNUT";;;G2CA03Z27;"60,";"0,";"0,";"0,";"0,";"60,";
"GIRLS CLASSIC 3, 29/30, HAZELNUT";;;G2CA03Z29;"100,";"0,";"0,";"0,";"0,";"100,";
"GIRLS CLASSIC 3, 31/32, HAZELNUT";;;G2CA03Z31;"80,";"0,";"0,";"0,";"0,";"80,";
"JUNIOR CLASSIC 1, 35, BLACK";;;J1CA01Z35;"0,";"0,";"0,";"0,";"0,";"0,";
;;;J1CAV301Z35;"0,";"0,";"0,";"0,";"0,";"0,";
"JUNIOR CLASSIC 1, 36, BLACK";;;J1CA01Z36;"0,";"0,";"0,";"0,";"0,";"0,";
;;;J1CAV301Z36;"0,";"0,";"0,";"0,";"0,";"0,";
"JUNIOR CLASSIC 1, 37, BLACK";;;J1CA01Z37;"0,";"0,";"0,";"0,";"0,";"0,";
;;;J1CAV301Z37;"0,";"0,";"0,";"0,";"0,";"0,";
